method,cwq,icews18,orgaccess,webqsp
quest_kg,77.79749199468642,16.20414749952033,17.566779737050336,52.29550069873221
quest_kg_llm,489.2433055959973,16.20414749952033,17.566779737050336,380.57665814500456
vanilla_rag,1599.9116942430046,1477.9972695650033,1482.291236741334,1517.7261360359405
graphrag,1638.0144792569045,1563.2331936499759,1593.2719560346716,1577.5539125000141
tog1,9332.472677446967,8599.331281245157,7872.519798066668,8881.111280304009
tog2,9465.041695586946,9146.794133240128,8951.162801316028,9133.838533976994
cok,8965.31202034596,9079.87194747002,9208.358211724015,8836.44259894103
