method,dataset,coverage,risk
quest_kg,cwq,0.29,0.8758620689655172
quest_kg,cwq,0.292,0.8767123287671232
quest_kg,cwq,0.294,0.8775510204081632
quest_kg,cwq,0.296,0.8783783783783784
quest_kg,cwq,0.298,0.8791946308724832
quest_kg,cwq,0.3,0.88
quest_kg,cwq,0.302,0.880794701986755
quest_kg,cwq,0.304,0.881578947368421
quest_kg,cwq,0.306,0.8823529411764706
quest_kg,cwq,0.308,0.8831168831168831
quest_kg,cwq,0.31,0.8838709677419355
quest_kg,cwq,0.312,0.8846153846153846
quest_kg,cwq,0.314,0.8853503184713376
quest_kg,cwq,0.316,0.879746835443038
quest_kg,cwq,0.318,0.8805031446540881
quest_kg,cwq,0.32,0.88125
quest_kg,cwq,0.322,0.8819875776397516
quest_kg,cwq,0.324,0.8765432098765432
quest_kg,cwq,0.326,0.8773006134969326
quest_kg,cwq,0.328,0.8780487804878049
quest_kg,cwq,0.33,0.8787878787878788
quest_kg,cwq,0.332,0.8795180722891567
quest_kg,cwq,0.334,0.8802395209580838
quest_kg,cwq,0.336,0.8809523809523809
quest_kg,cwq,0.338,0.8816568047337279
quest_kg,cwq,0.34,0.8823529411764706
quest_kg,cwq,0.342,0.8830409356725146
quest_kg,cwq,0.344,0.8837209302325582
quest_kg,cwq,0.346,0.8843930635838151
quest_kg,cwq,0.348,0.8850574712643678
quest_kg,cwq,0.35,0.8857142857142857
quest_kg,cwq,0.352,0.8863636363636364
quest_kg,cwq,0.354,0.8870056497175142
quest_kg,cwq,0.356,0.8876404494382022
quest_kg,cwq,0.358,0.888268156424581
quest_kg,cwq,0.36,0.8888888888888888
quest_kg,cwq,0.362,0.8895027624309393
quest_kg,cwq,0.364,0.8901098901098901
quest_kg,cwq,0.366,0.8907103825136612
quest_kg,cwq,0.368,0.8913043478260869
quest_kg,cwq,0.37,0.8918918918918919
quest_kg,cwq,0.372,0.8924731182795699
quest_kg,cwq,0.374,0.893048128342246
quest_kg,cwq,0.376,0.8936170212765957
quest_kg,cwq,0.378,0.8941798941798942
quest_kg,cwq,0.38,0.8947368421052632
quest_kg,cwq,0.382,0.8952879581151832
quest_kg,cwq,0.384,0.8958333333333334
quest_kg,cwq,0.386,0.8911917098445596
quest_kg,cwq,0.388,0.8917525773195876
quest_kg,cwq,0.39,0.8923076923076922
quest_kg,cwq,0.392,0.8928571428571429
quest_kg,cwq,0.394,0.8934010152284264
quest_kg,cwq,0.396,0.8939393939393939
quest_kg,cwq,0.398,0.8944723618090452
quest_kg,cwq,0.4,0.895
quest_kg,cwq,0.402,0.8955223880597015
quest_kg,cwq,0.404,0.8960396039603961
quest_kg,cwq,0.406,0.896551724137931
quest_kg,cwq,0.408,0.8970588235294118
quest_kg,cwq,0.41,0.8975609756097561
quest_kg,cwq,0.412,0.8980582524271845
quest_kg,cwq,0.414,0.8985507246376812
quest_kg,cwq,0.416,0.8990384615384616
quest_kg,cwq,0.418,0.8947368421052632
quest_kg,cwq,0.42,0.8952380952380953
quest_kg,cwq,0.422,0.8909952606635071
quest_kg,cwq,0.424,0.8915094339622641
quest_kg,cwq,0.426,0.892018779342723
quest_kg,cwq,0.428,0.8925233644859814
quest_kg,cwq,0.43,0.8930232558139535
quest_kg,cwq,0.432,0.8935185185185185
quest_kg,cwq,0.434,0.8894009216589862
quest_kg,cwq,0.436,0.8899082568807339
quest_kg,cwq,0.438,0.8904109589041096
quest_kg,cwq,0.44,0.8909090909090909
quest_kg,cwq,0.442,0.8868778280542986
quest_kg,cwq,0.444,0.8828828828828829
quest_kg,cwq,0.446,0.8834080717488789
quest_kg,cwq,0.448,0.8839285714285714
quest_kg,cwq,0.45,0.8844444444444445
quest_kg,cwq,0.452,0.8849557522123894
quest_kg,cwq,0.454,0.8810572687224669
quest_kg,cwq,0.456,0.881578947368421
quest_kg,cwq,0.458,0.8820960698689957
quest_kg,cwq,0.46,0.8782608695652174
quest_kg,cwq,0.462,0.8787878787878788
quest_kg,cwq,0.464,0.8793103448275862
quest_kg,cwq,0.466,0.8755364806866953
quest_kg,cwq,0.468,0.8717948717948718
quest_kg,cwq,0.47,0.8723404255319149
quest_kg,cwq,0.472,0.8728813559322034
quest_kg,cwq,0.474,0.8734177215189873
quest_kg,cwq,0.476,0.8739495798319328
quest_kg,cwq,0.478,0.8744769874476988
quest_kg,cwq,0.48,0.8708333333333333
quest_kg,cwq,0.482,0.8713692946058091
quest_kg,cwq,0.484,0.871900826446281
quest_kg,cwq,0.486,0.8724279835390947
quest_kg,cwq,0.488,0.8688524590163934
quest_kg,cwq,0.49,0.8693877551020408
quest_kg,cwq,0.492,0.8699186991869918
quest_kg,cwq,0.494,0.8704453441295547
quest_kg,cwq,0.496,0.8709677419354839
quest_kg,cwq,0.498,0.8714859437751004
quest_kg,cwq,0.5,0.872
quest_kg,cwq,0.502,0.8725099601593626
quest_kg,cwq,0.504,0.8690476190476191
quest_kg,cwq,0.506,0.8656126482213439
quest_kg,cwq,0.508,0.8661417322834646
quest_kg,cwq,0.51,0.8666666666666667
quest_kg,cwq,0.512,0.86328125
quest_kg,cwq,0.514,0.8638132295719845
quest_kg,cwq,0.516,0.8643410852713178
quest_kg,cwq,0.518,0.8648648648648649
quest_kg,cwq,0.52,0.8653846153846154
quest_kg,cwq,0.522,0.8659003831417624
quest_kg,cwq,0.524,0.8625954198473282
quest_kg,cwq,0.526,0.8631178707224334
quest_kg,cwq,0.528,0.8636363636363636
quest_kg,cwq,0.53,0.8641509433962264
quest_kg,cwq,0.532,0.8646616541353384
quest_kg,cwq,0.534,0.8651685393258427
quest_kg,cwq,0.536,0.8656716417910448
quest_kg,cwq,0.538,0.8661710037174721
quest_kg,cwq,0.54,0.8666666666666667
quest_kg,cwq,0.542,0.8671586715867159
quest_kg,cwq,0.544,0.8676470588235294
quest_kg,cwq,0.546,0.8681318681318682
quest_kg,cwq,0.548,0.8686131386861313
quest_kg,cwq,0.55,0.8654545454545455
quest_kg,cwq,0.552,0.8659420289855072
quest_kg,cwq,0.554,0.8664259927797834
quest_kg,cwq,0.556,0.8669064748201438
quest_kg,cwq,0.558,0.8673835125448028
quest_kg,cwq,0.56,0.8678571428571429
quest_kg,cwq,0.562,0.8683274021352313
quest_kg,cwq,0.564,0.8687943262411347
quest_kg,cwq,0.566,0.8692579505300353
quest_kg,cwq,0.568,0.869718309859155
quest_kg,cwq,0.57,0.8701754385964913
quest_kg,cwq,0.572,0.8706293706293706
quest_kg,cwq,0.574,0.8710801393728222
quest_kg,cwq,0.576,0.8715277777777778
quest_kg,cwq,0.578,0.8719723183391004
quest_kg,cwq,0.58,0.8724137931034482
quest_kg,cwq,0.582,0.872852233676976
quest_kg,cwq,0.584,0.8732876712328768
quest_kg,cwq,0.586,0.8737201365187713
quest_kg,cwq,0.588,0.8741496598639455
quest_kg,cwq,0.59,0.8745762711864407
quest_kg,cwq,0.592,0.875
quest_kg,cwq,0.594,0.8754208754208754
quest_kg,cwq,0.596,0.8758389261744967
quest_kg,cwq,0.598,0.8762541806020067
quest_kg,cwq,0.6,0.8766666666666667
quest_kg,cwq,0.602,0.8737541528239203
quest_kg,cwq,0.604,0.8741721854304636
quest_kg,cwq,0.606,0.8745874587458746
quest_kg,cwq,0.608,0.875
quest_kg,cwq,0.61,0.8754098360655738
quest_kg,cwq,0.612,0.8758169934640523
quest_kg,cwq,0.614,0.8762214983713354
quest_kg,cwq,0.616,0.8766233766233766
quest_kg,cwq,0.618,0.8770226537216829
quest_kg,cwq,0.62,0.8774193548387097
quest_kg,cwq,0.622,0.8778135048231511
quest_kg,cwq,0.624,0.8782051282051282
quest_kg,cwq,0.626,0.8753993610223643
quest_kg,cwq,0.628,0.8757961783439491
quest_kg,cwq,0.63,0.8761904761904762
quest_kg,cwq,0.632,0.8765822784810127
quest_kg,cwq,0.634,0.8769716088328076
quest_kg,cwq,0.636,0.8773584905660378
quest_kg,cwq,0.638,0.8746081504702194
quest_kg,cwq,0.64,0.875
quest_kg,cwq,0.642,0.8753894080996885
quest_kg,cwq,0.644,0.8757763975155279
quest_kg,cwq,0.646,0.8761609907120743
quest_kg,cwq,0.648,0.8765432098765432
quest_kg,cwq,0.65,0.8738461538461538
quest_kg,cwq,0.652,0.8742331288343559
quest_kg,cwq,0.654,0.8746177370030581
quest_kg,cwq,0.656,0.875
quest_kg,cwq,0.658,0.8753799392097265
quest_kg,cwq,0.66,0.8757575757575757
quest_kg,cwq,0.662,0.8761329305135952
quest_kg,cwq,0.664,0.8765060240963856
quest_kg,cwq,0.666,0.8738738738738738
quest_kg,cwq,0.668,0.8712574850299402
quest_kg,cwq,0.67,0.8716417910447761
quest_kg,cwq,0.672,0.8720238095238095
quest_kg,cwq,0.674,0.8724035608308606
quest_kg,cwq,0.676,0.8698224852071006
quest_kg,cwq,0.678,0.8702064896755162
quest_kg,cwq,0.68,0.8705882352941177
quest_kg,cwq,0.682,0.8709677419354839
quest_kg,cwq,0.684,0.8713450292397661
quest_kg,cwq,0.686,0.8717201166180758
quest_kg,cwq,0.688,0.872093023255814
quest_kg,cwq,0.69,0.8724637681159421
quest_kg,cwq,0.692,0.8728323699421965
quest_kg,cwq,0.694,0.8703170028818443
quest_kg,cwq,0.696,0.8706896551724138
quest_kg,cwq,0.698,0.8710601719197708
quest_kg,cwq,0.7,0.8714285714285714
quest_kg,cwq,0.702,0.8717948717948718
quest_kg,cwq,0.704,0.8721590909090909
quest_kg,cwq,0.706,0.8725212464589235
quest_kg,cwq,0.708,0.8700564971751412
quest_kg,cwq,0.71,0.8704225352112676
quest_kg,cwq,0.712,0.8707865168539326
quest_kg,cwq,0.714,0.8711484593837535
quest_kg,cwq,0.716,0.8715083798882681
quest_kg,cwq,0.718,0.8718662952646239
quest_kg,cwq,0.72,0.8722222222222222
quest_kg,cwq,0.722,0.8725761772853186
quest_kg,cwq,0.724,0.8729281767955801
quest_kg,cwq,0.726,0.8705234159779615
quest_kg,cwq,0.728,0.8708791208791209
quest_kg,cwq,0.73,0.8712328767123287
quest_kg,cwq,0.732,0.8715846994535519
quest_kg,cwq,0.734,0.8719346049046321
quest_kg,cwq,0.736,0.8722826086956521
quest_kg,cwq,0.738,0.8699186991869918
quest_kg,cwq,0.74,0.8702702702702703
quest_kg,cwq,0.742,0.8679245283018868
quest_kg,cwq,0.744,0.8682795698924731
quest_kg,cwq,0.746,0.868632707774799
quest_kg,cwq,0.748,0.8689839572192514
quest_kg,cwq,0.75,0.8693333333333333
quest_kg,cwq,0.752,0.8696808510638298
quest_kg,cwq,0.754,0.870026525198939
quest_kg,cwq,0.756,0.8703703703703703
quest_kg,cwq,0.758,0.8680738786279684
quest_kg,cwq,0.76,0.868421052631579
quest_kg,cwq,0.762,0.868766404199475
quest_kg,cwq,0.764,0.8691099476439791
quest_kg,cwq,0.766,0.8694516971279374
quest_kg,cwq,0.768,0.8697916666666666
quest_kg,cwq,0.77,0.8675324675324676
quest_kg,cwq,0.772,0.8678756476683938
quest_kg,cwq,0.774,0.8682170542635659
quest_kg,cwq,0.776,0.8685567010309279
quest_kg,cwq,0.778,0.8663239074550129
quest_kg,cwq,0.78,0.8666666666666667
quest_kg,cwq,0.782,0.8644501278772379
quest_kg,cwq,0.784,0.8647959183673469
quest_kg,cwq,0.786,0.8651399491094147
quest_kg,cwq,0.788,0.8654822335025381
quest_kg,cwq,0.79,0.8658227848101265
quest_kg,cwq,0.792,0.8661616161616161
quest_kg,cwq,0.794,0.8664987405541562
quest_kg,cwq,0.796,0.8668341708542714
quest_kg,cwq,0.798,0.8671679197994988
quest_kg,cwq,0.8,0.8674999999999999
quest_kg,cwq,0.802,0.8678304239401496
quest_kg,cwq,0.804,0.8681592039800995
quest_kg,cwq,0.806,0.8684863523573201
quest_kg,cwq,0.808,0.8688118811881188
quest_kg,cwq,0.81,0.8691358024691358
quest_kg,cwq,0.812,0.8694581280788177
quest_kg,cwq,0.814,0.8697788697788698
quest_kg,cwq,0.816,0.8700980392156863
quest_kg,cwq,0.818,0.8704156479217604
quest_kg,cwq,0.82,0.8707317073170732
quest_kg,cwq,0.822,0.8710462287104623
quest_kg,cwq,0.824,0.8713592233009708
quest_kg,cwq,0.826,0.8716707021791767
quest_kg,cwq,0.828,0.8719806763285024
quest_kg,cwq,0.83,0.8722891566265061
quest_kg,cwq,0.832,0.8701923076923077
quest_kg,cwq,0.834,0.8705035971223022
quest_kg,cwq,0.836,0.8708133971291866
quest_kg,cwq,0.838,0.8687350835322196
quest_kg,cwq,0.84,0.8690476190476191
quest_kg,cwq,0.842,0.8669833729216152
quest_kg,cwq,0.844,0.8672985781990521
quest_kg,cwq,0.846,0.8676122931442081
quest_kg,cwq,0.848,0.8679245283018868
quest_kg,cwq,0.85,0.8658823529411764
quest_kg,cwq,0.852,0.8661971830985915
quest_kg,cwq,0.854,0.8641686182669789
quest_kg,cwq,0.856,0.8644859813084113
quest_kg,cwq,0.858,0.8648018648018648
quest_kg,cwq,0.86,0.8651162790697674
quest_kg,cwq,0.862,0.8654292343387471
quest_kg,cwq,0.864,0.8634259259259259
quest_kg,cwq,0.866,0.8637413394919169
quest_kg,cwq,0.868,0.8617511520737327
quest_kg,cwq,0.87,0.8620689655172413
quest_kg,cwq,0.872,0.8623853211009174
quest_kg,cwq,0.874,0.8627002288329519
quest_kg,cwq,0.876,0.863013698630137
quest_kg,cwq,0.878,0.8633257403189066
quest_kg,cwq,0.88,0.8636363636363636
quest_kg,cwq,0.882,0.8639455782312925
quest_kg,cwq,0.884,0.8642533936651584
quest_kg,cwq,0.886,0.8645598194130926
quest_kg,cwq,0.888,0.8648648648648649
quest_kg,cwq,0.89,0.8651685393258427
quest_kg,cwq,0.892,0.8654708520179373
quest_kg,cwq,0.894,0.8635346756152125
quest_kg,cwq,0.896,0.8616071428571428
quest_kg,cwq,0.898,0.8619153674832962
quest_kg,cwq,0.9,0.8622222222222222
quest_kg,cwq,0.902,0.8625277161862528
quest_kg,cwq,0.904,0.8628318584070797
quest_kg,cwq,0.906,0.8631346578366446
quest_kg,cwq,0.908,0.8634361233480177
quest_kg,cwq,0.91,0.8637362637362638
quest_kg,cwq,0.912,0.8640350877192983
quest_kg,cwq,0.914,0.862144420131291
quest_kg,cwq,0.916,0.8624454148471616
quest_kg,cwq,0.918,0.8627450980392157
quest_kg,cwq,0.92,0.8630434782608696
quest_kg,cwq,0.922,0.8633405639913232
quest_kg,cwq,0.924,0.8636363636363636
quest_kg,cwq,0.926,0.8639308855291576
quest_kg,cwq,0.928,0.8620689655172413
quest_kg,cwq,0.93,0.8602150537634409
quest_kg,cwq,0.932,0.8605150214592274
quest_kg,cwq,0.934,0.8608137044967881
quest_kg,cwq,0.936,0.858974358974359
quest_kg,cwq,0.938,0.8592750533049041
quest_kg,cwq,0.94,0.8595744680851064
quest_kg,cwq,0.942,0.8598726114649682
quest_kg,cwq,0.944,0.8601694915254238
quest_kg,cwq,0.946,0.8604651162790697
quest_kg,cwq,0.948,0.8607594936708861
quest_kg,cwq,0.95,0.8610526315789474
quest_kg,cwq,0.952,0.8613445378151261
quest_kg,cwq,0.954,0.8616352201257862
quest_kg,cwq,0.956,0.8619246861924686
quest_kg,cwq,0.958,0.860125260960334
quest_kg,cwq,0.96,0.8604166666666666
quest_kg,cwq,0.962,0.8607068607068606
quest_kg,cwq,0.964,0.8609958506224067
quest_kg,cwq,0.966,0.8612836438923396
quest_kg,cwq,0.968,0.859504132231405
quest_kg,cwq,0.97,0.8597938144329897
quest_kg,cwq,0.972,0.8600823045267489
quest_kg,cwq,0.974,0.8603696098562629
quest_kg,cwq,0.976,0.860655737704918
quest_kg,cwq,0.978,0.8609406952965235
quest_kg,cwq,0.98,0.8612244897959184
quest_kg,cwq,0.982,0.8594704684317719
quest_kg,cwq,0.984,0.8597560975609756
quest_kg,cwq,0.986,0.8600405679513184
quest_kg,cwq,0.988,0.8582995951417004
quest_kg,cwq,0.99,0.8585858585858586
quest_kg,cwq,0.992,0.8588709677419355
quest_kg,cwq,0.994,0.8591549295774648
quest_kg,cwq,0.996,0.8594377510040161
quest_kg,cwq,0.998,0.8597194388777555
quest_kg,cwq,1.0,0.86
quest_kg,cwq,0.002,1.0
quest_kg,cwq,0.004,1.0
quest_kg,cwq,0.006,1.0
quest_kg,cwq,0.008,1.0
quest_kg,cwq,0.01,1.0
quest_kg,cwq,0.012,1.0
quest_kg,cwq,0.014,1.0
quest_kg,cwq,0.016,1.0
quest_kg,cwq,0.018,1.0
quest_kg,cwq,0.02,1.0
quest_kg,cwq,0.022,1.0
quest_kg,cwq,0.024,0.9166666666666666
quest_kg,cwq,0.026,0.9230769230769231
quest_kg,cwq,0.028,0.9285714285714286
quest_kg,cwq,0.03,0.9333333333333333
quest_kg,cwq,0.032,0.875
quest_kg,cwq,0.034,0.8823529411764706
