method,dataset,coverage,risk
quest_kg,cwq,0.954,0.8951781970649895
quest_kg,cwq,0.956,0.895397489539749
quest_kg,cwq,0.958,0.8956158663883089
quest_kg,cwq,0.96,0.8958333333333334
quest_kg,cwq,0.962,0.896049896049896
quest_kg,cwq,0.964,0.8962655601659751
quest_kg,cwq,0.966,0.8964803312629399
quest_kg,cwq,0.968,0.8966942148760331
quest_kg,cwq,0.97,0.8969072164948454
quest_kg,cwq,0.972,0.897119341563786
quest_kg,cwq,0.974,0.8973305954825462
quest_kg,cwq,0.976,0.8975409836065573
quest_kg,cwq,0.978,0.8977505112474438
quest_kg,cwq,0.98,0.8979591836734694
quest_kg,cwq,0.982,0.8981670061099796
quest_kg,cwq,0.984,0.8983739837398375
quest_kg,cwq,0.986,0.8985801217038539
quest_kg,cwq,0.988,0.8987854251012146
quest_kg,cwq,0.99,0.898989898989899
quest_kg,cwq,0.992,0.8991935483870968
quest_kg,cwq,0.994,0.8993963782696177
quest_kg,cwq,0.996,0.8995983935742972
quest_kg,cwq,0.998,0.8997995991983968
quest_kg,cwq,1.0,0.9
quest_kg,cwq,0.002,0.0
quest_kg,cwq,0.004,0.0
quest_kg,cwq,0.006,0.33333333333333337
quest_kg,cwq,0.008,0.5
quest_kg,cwq,0.01,0.6
quest_kg,cwq,0.012,0.6666666666666667
quest_kg,cwq,0.014,0.7142857142857143
quest_kg,cwq,0.016,0.75
quest_kg,cwq,0.018,0.6666666666666667
quest_kg,cwq,0.02,0.7
quest_kg,cwq,0.022,0.6363636363636364
quest_kg,cwq,0.024,0.5833333333333333
quest_kg,cwq,0.026,0.6153846153846154
quest_kg,cwq,0.028,0.6428571428571428
quest_kg,cwq,0.03,0.6666666666666667
quest_kg,cwq,0.032,0.6875
quest_kg,cwq,0.034,0.7058823529411764
quest_kg,cwq,0.036,0.7222222222222222
quest_kg,cwq,0.038,0.6842105263157895
quest_kg,cwq,0.04,0.65
quest_kg,cwq,0.042,0.6666666666666667
quest_kg,cwq,0.044,0.6818181818181819
quest_kg,cwq,0.046,0.6956521739130435
quest_kg,cwq,0.048,0.6666666666666667
quest_kg,cwq,0.05,0.6799999999999999
quest_kg,cwq,0.052,0.6538461538461539
quest_kg,cwq,0.054,0.6296296296296297
quest_kg,cwq,0.056,0.6428571428571428
quest_kg,cwq,0.058,0.6551724137931034
quest_kg,cwq,0.06,0.6333333333333333
quest_kg,cwq,0.062,0.6451612903225806
quest_kg,cwq,0.064,0.65625
quest_kg,cwq,0.066,0.6363636363636364
quest_kg,cwq,0.068,0.6470588235294117
quest_kg,cwq,0.07,0.6285714285714286
quest_kg,cwq,0.072,0.6388888888888888
quest_kg,cwq,0.074,0.6486486486486487
quest_kg,cwq,0.076,0.6578947368421053
quest_kg,cwq,0.078,0.641025641025641
quest_kg,cwq,0.08,0.625
quest_kg,cwq,0.082,0.6341463414634146
quest_kg,cwq,0.084,0.6190476190476191
quest_kg,cwq,0.086,0.6046511627906976
quest_kg,cwq,0.088,0.5909090909090908
quest_kg,cwq,0.09,0.6
quest_kg,cwq,0.092,0.6086956521739131
quest_kg,cwq,0.094,0.6170212765957447
quest_kg,cwq,0.096,0.625
quest_kg,cwq,0.098,0.6326530612244898
quest_kg,cwq,0.1,0.64
quest_kg,cwq,0.102,0.6470588235294117
quest_kg,cwq,0.104,0.6346153846153846
quest_kg,cwq,0.106,0.6415094339622642
quest_kg,cwq,0.108,0.6481481481481481
quest_kg,cwq,0.11,0.6545454545454545
quest_kg,cwq,0.112,0.6607142857142857
quest_kg,cwq,0.114,0.6666666666666667
quest_kg,cwq,0.116,0.6724137931034483
quest_kg,cwq,0.118,0.6779661016949152
quest_kg,cwq,0.12,0.6666666666666667
quest_kg,cwq,0.122,0.6721311475409837
quest_kg,cwq,0.124,0.6774193548387097
quest_kg,cwq,0.126,0.6825396825396826
quest_kg,cwq,0.128,0.6875
quest_kg,cwq,0.13,0.6923076923076923
quest_kg,cwq,0.132,0.696969696969697
quest_kg,cwq,0.134,0.7014925373134329
quest_kg,cwq,0.136,0.6911764705882353
quest_kg,cwq,0.138,0.6956521739130435
quest_kg,cwq,0.14,0.7
quest_kg,cwq,0.142,0.704225352112676
quest_kg,cwq,0.144,0.7083333333333333
quest_kg,cwq,0.146,0.6986301369863014
quest_kg,cwq,0.148,0.6891891891891893
quest_kg,cwq,0.15,0.6933333333333334
quest_kg,cwq,0.152,0.6842105263157895
quest_kg,cwq,0.154,0.6883116883116883
quest_kg,cwq,0.156,0.6923076923076923
quest_kg,cwq,0.158,0.6962025316455696
quest_kg,cwq,0.16,0.7
quest_kg,cwq,0.162,0.7037037037037037
quest_kg,cwq,0.164,0.7073170731707317
quest_kg,cwq,0.166,0.7108433734939759
quest_kg,cwq,0.168,0.7142857142857143
quest_kg,cwq,0.17,0.7176470588235294
quest_kg,cwq,0.172,0.7209302325581395
quest_kg,cwq,0.174,0.7241379310344828
quest_kg,cwq,0.176,0.7272727272727273
quest_kg,cwq,0.178,0.7303370786516854
quest_kg,cwq,0.18,0.7222222222222222
quest_kg,cwq,0.182,0.7252747252747253
quest_kg,cwq,0.184,0.7282608695652174
quest_kg,cwq,0.186,0.7311827956989247
quest_kg,cwq,0.188,0.7340425531914894
quest_kg,cwq,0.19,0.736842105263158
quest_kg,cwq,0.192,0.7291666666666667
quest_kg,cwq,0.194,0.7216494845360825
quest_kg,cwq,0.196,0.7244897959183674
quest_kg,cwq,0.198,0.7272727272727273
quest_kg,cwq,0.2,0.73
quest_kg,cwq,0.202,0.7326732673267327
quest_kg,cwq,0.204,0.7352941176470589
quest_kg,cwq,0.206,0.7378640776699029
quest_kg,cwq,0.208,0.7403846153846154
quest_kg,cwq,0.21,0.7428571428571429
quest_kg,cwq,0.212,0.7358490566037736
quest_kg,cwq,0.214,0.7383177570093458
quest_kg,cwq,0.216,0.7407407407407407
quest_kg,cwq,0.218,0.7339449541284404
quest_kg,cwq,0.22,0.7363636363636363
quest_kg,cwq,0.222,0.7387387387387387
quest_kg,cwq,0.224,0.7410714285714286
quest_kg,cwq,0.226,0.7433628318584071
quest_kg,cwq,0.228,0.7456140350877193
quest_kg,cwq,0.23,0.7391304347826086
quest_kg,cwq,0.232,0.7413793103448276
quest_kg,cwq,0.234,0.7350427350427351
quest_kg,cwq,0.236,0.7372881355932204
quest_kg,cwq,0.238,0.7394957983193278
quest_kg,cwq,0.24,0.7416666666666667
quest_kg,cwq,0.242,0.743801652892562
quest_kg,cwq,0.244,0.7377049180327868
quest_kg,cwq,0.246,0.7317073170731707
quest_kg,cwq,0.248,0.7258064516129032
quest_kg,cwq,0.25,0.728
quest_kg,cwq,0.252,0.7222222222222222
quest_kg,cwq,0.254,0.7244094488188977
quest_kg,cwq,0.256,0.7265625
quest_kg,cwq,0.258,0.7286821705426356
quest_kg,cwq,0.26,0.7307692307692308
quest_kg,cwq,0.262,0.7251908396946565
quest_kg,cwq,0.264,0.7272727272727273
quest_kg,cwq,0.266,0.7293233082706767
quest_kg,cwq,0.268,0.7313432835820896
quest_kg,cwq,0.27,0.7333333333333334
quest_kg,cwq,0.272,0.7279411764705883
quest_kg,cwq,0.274,0.7226277372262774
quest_kg,cwq,0.276,0.7173913043478262
quest_kg,cwq,0.278,0.7194244604316546
quest_kg,cwq,0.28,0.7214285714285714
quest_kg,cwq,0.282,0.7163120567375887
quest_kg,cwq,0.284,0.7112676056338028
quest_kg,cwq,0.286,0.7062937062937062
quest_kg,cwq,0.288,0.7083333333333333
quest_kg,cwq,0.29,0.7103448275862069
quest_kg,cwq,0.292,0.7123287671232876
quest_kg,cwq,0.294,0.7142857142857143
quest_kg,cwq,0.296,0.7094594594594594
quest_kg,cwq,0.298,0.7046979865771812
quest_kg,cwq,0.3,0.7066666666666667
quest_kg,cwq,0.302,0.7086092715231789
quest_kg,cwq,0.304,0.7105263157894737
quest_kg,cwq,0.306,0.7124183006535948
quest_kg,cwq,0.308,0.7142857142857143
quest_kg,cwq,0.31,0.7161290322580645
quest_kg,cwq,0.312,0.717948717948718
quest_kg,cwq,0.314,0.7197452229299364
quest_kg,cwq,0.316,0.7151898734177216
quest_kg,cwq,0.318,0.7169811320754718
quest_kg,cwq,0.32,0.71875
quest_kg,cwq,0.322,0.7204968944099379
quest_kg,cwq,0.324,0.7222222222222222
quest_kg,cwq,0.326,0.7239263803680982
quest_kg,cwq,0.328,0.725609756097561
quest_kg,cwq,0.33,0.7212121212121212
quest_kg,cwq,0.332,0.7228915662650602
quest_kg,cwq,0.334,0.7245508982035929
quest_kg,cwq,0.336,0.7261904761904762
quest_kg,cwq,0.338,0.7218934911242604
quest_kg,cwq,0.34,0.7235294117647059
quest_kg,cwq,0.342,0.7251461988304093
quest_kg,cwq,0.344,0.7209302325581395
quest_kg,cwq,0.346,0.7225433526011561
quest_kg,cwq,0.348,0.7241379310344828
quest_kg,cwq,0.35,0.7257142857142858
quest_kg,cwq,0.352,0.7272727272727273
quest_kg,cwq,0.354,0.7231638418079096
quest_kg,cwq,0.356,0.7247191011235955
quest_kg,cwq,0.358,0.7262569832402235
quest_kg,cwq,0.36,0.7277777777777779
quest_kg,cwq,0.362,0.7237569060773481
quest_kg,cwq,0.364,0.7252747252747253
quest_kg,cwq,0.366,0.7213114754098361
quest_kg,cwq,0.368,0.7228260869565217
quest_kg,cwq,0.37,0.7243243243243243
quest_kg,cwq,0.372,0.7258064516129032
quest_kg,cwq,0.374,0.7272727272727273
quest_kg,cwq,0.376,0.7287234042553192
quest_kg,cwq,0.378,0.7301587301587302
quest_kg,cwq,0.38,0.7263157894736842
quest_kg,cwq,0.382,0.7277486910994764
quest_kg,cwq,0.384,0.7291666666666667
quest_kg,cwq,0.386,0.7305699481865284
quest_kg,cwq,0.388,0.731958762886598
quest_kg,cwq,0.39,0.7333333333333334
quest_kg,cwq,0.392,0.7346938775510203
quest_kg,cwq,0.394,0.7360406091370558
quest_kg,cwq,0.396,0.7373737373737373
quest_kg,cwq,0.398,0.7386934673366834
quest_kg,cwq,0.4,0.74
quest_kg,cwq,0.402,0.736318407960199
quest_kg,cwq,0.404,0.7376237623762376
quest_kg,cwq,0.406,0.7389162561576355
quest_kg,cwq,0.408,0.7401960784313726
quest_kg,cwq,0.41,0.7414634146341463
quest_kg,cwq,0.412,0.7427184466019418
quest_kg,cwq,0.414,0.7439613526570048
quest_kg,cwq,0.416,0.7451923076923077
quest_kg,cwq,0.418,0.7464114832535885
quest_kg,cwq,0.42,0.7476190476190476
quest_kg,cwq,0.422,0.7488151658767772
quest_kg,cwq,0.424,0.75
quest_kg,cwq,0.426,0.7511737089201878
quest_kg,cwq,0.428,0.7523364485981309
quest_kg,cwq,0.43,0.7534883720930232
quest_kg,cwq,0.432,0.7546296296296297
quest_kg,cwq,0.434,0.7511520737327189
quest_kg,cwq,0.436,0.7522935779816513
quest_kg,cwq,0.438,0.7534246575342466
quest_kg,cwq,0.44,0.7545454545454545
quest_kg,cwq,0.442,0.755656108597285
quest_kg,cwq,0.444,0.7567567567567568
quest_kg,cwq,0.446,0.757847533632287
quest_kg,cwq,0.448,0.7589285714285714
quest_kg,cwq,0.45,0.76
quest_kg,cwq,0.452,0.7610619469026548
quest_kg,cwq,0.454,0.762114537444934
quest_kg,cwq,0.456,0.7631578947368421
quest_kg,cwq,0.458,0.759825327510917
quest_kg,cwq,0.46,0.7608695652173914
quest_kg,cwq,0.462,0.7619047619047619
quest_kg,cwq,0.464,0.7629310344827587
quest_kg,cwq,0.466,0.7639484978540773
quest_kg,cwq,0.468,0.7649572649572649
quest_kg,cwq,0.47,0.7659574468085106
quest_kg,cwq,0.472,0.7669491525423728
quest_kg,cwq,0.474,0.7679324894514767
quest_kg,cwq,0.476,0.7647058823529411
quest_kg,cwq,0.478,0.7615062761506276
quest_kg,cwq,0.48,0.7625
quest_kg,cwq,0.482,0.7634854771784232
quest_kg,cwq,0.484,0.7644628099173554
quest_kg,cwq,0.486,0.7613168724279835
quest_kg,cwq,0.488,0.7581967213114754
quest_kg,cwq,0.49,0.7551020408163265
quest_kg,cwq,0.492,0.7560975609756098
quest_kg,cwq,0.494,0.7530364372469636
quest_kg,cwq,0.496,0.75
quest_kg,cwq,0.498,0.7469879518072289
quest_kg,cwq,0.5,0.748
quest_kg,cwq,0.502,0.7450199203187251
quest_kg,cwq,0.504,0.746031746031746
quest_kg,cwq,0.506,0.7430830039525691
quest_kg,cwq,0.508,0.7440944881889764
quest_kg,cwq,0.51,0.7450980392156863
quest_kg,cwq,0.512,0.74609375
quest_kg,cwq,0.514,0.7470817120622568
quest_kg,cwq,0.516,0.748062015503876
quest_kg,cwq,0.518,0.7490347490347491
quest_kg,cwq,0.52,0.7461538461538462
quest_kg,cwq,0.522,0.7471264367816092
quest_kg,cwq,0.524,0.7480916030534351
quest_kg,cwq,0.526,0.7490494296577948
quest_kg,cwq,0.528,0.75
quest_kg,cwq,0.53,0.7509433962264151
quest_kg,cwq,0.532,0.7518796992481203
quest_kg,cwq,0.534,0.752808988764045
quest_kg,cwq,0.536,0.7537313432835822
quest_kg,cwq,0.538,0.7546468401486989
quest_kg,cwq,0.54,0.7555555555555555
quest_kg,cwq,0.542,0.7564575645756457
quest_kg,cwq,0.544,0.7573529411764706
quest_kg,cwq,0.546,0.7582417582417582
quest_kg,cwq,0.548,0.7591240875912408
quest_kg,cwq,0.55,0.7563636363636363
quest_kg,cwq,0.552,0.7572463768115942
quest_kg,cwq,0.554,0.7581227436823105
quest_kg,cwq,0.556,0.7553956834532374
quest_kg,cwq,0.558,0.7562724014336918
quest_kg,cwq,0.56,0.7535714285714286
quest_kg,cwq,0.562,0.7508896797153025
quest_kg,cwq,0.564,0.75177304964539
quest_kg,cwq,0.566,0.7526501766784452
quest_kg,cwq,0.568,0.7535211267605634
quest_kg,cwq,0.57,0.7543859649122807
quest_kg,cwq,0.572,0.7552447552447552
quest_kg,cwq,0.574,0.7560975609756098
quest_kg,cwq,0.576,0.7534722222222222
quest_kg,cwq,0.578,0.754325259515571
quest_kg,cwq,0.58,0.7551724137931035
quest_kg,cwq,0.582,0.7560137457044673
quest_kg,cwq,0.584,0.7568493150684932
quest_kg,cwq,0.586,0.7542662116040956
quest_kg,cwq,0.588,0.7517006802721089
quest_kg,cwq,0.59,0.752542372881356
quest_kg,cwq,0.592,0.75
quest_kg,cwq,0.594,0.7474747474747474
quest_kg,cwq,0.596,0.7483221476510067
quest_kg,cwq,0.598,0.745819397993311
quest_kg,cwq,0.6,0.7433333333333334
quest_kg,cwq,0.602,0.7441860465116279
quest_kg,cwq,0.604,0.7450331125827814
quest_kg,cwq,0.606,0.7425742574257426
quest_kg,cwq,0.608,0.743421052631579
quest_kg,cwq,0.61,0.7442622950819673
quest_kg,cwq,0.612,0.7450980392156863
quest_kg,cwq,0.614,0.745928338762215
quest_kg,cwq,0.616,0.7467532467532467
quest_kg,cwq,0.618,0.7443365695792881
quest_kg,cwq,0.62,0.7419354838709677
quest_kg,cwq,0.622,0.7427652733118971
quest_kg,cwq,0.624,0.7435897435897436
quest_kg,cwq,0.626,0.744408945686901
quest_kg,cwq,0.628,0.7452229299363058
quest_kg,cwq,0.63,0.746031746031746
quest_kg,cwq,0.632,0.7436708860759493
quest_kg,cwq,0.634,0.7444794952681388
quest_kg,cwq,0.636,0.7452830188679245
quest_kg,cwq,0.638,0.7460815047021944
quest_kg,cwq,0.64,0.746875
quest_kg,cwq,0.642,0.7476635514018692
quest_kg,cwq,0.644,0.7484472049689441
quest_kg,cwq,0.646,0.7461300309597523
quest_kg,cwq,0.648,0.7469135802469136
quest_kg,cwq,0.65,0.7476923076923077
quest_kg,cwq,0.652,0.7484662576687117
quest_kg,cwq,0.654,0.7492354740061162
quest_kg,cwq,0.656,0.75
quest_kg,cwq,0.658,0.7507598784194529
quest_kg,cwq,0.66,0.7515151515151515
quest_kg,cwq,0.662,0.7492447129909365
quest_kg,cwq,0.664,0.75
quest_kg,cwq,0.666,0.7507507507507507
quest_kg,cwq,0.668,0.7514970059880239
quest_kg,cwq,0.67,0.7522388059701492
quest_kg,cwq,0.672,0.7529761904761905
quest_kg,cwq,0.674,0.7537091988130564
quest_kg,cwq,0.676,0.7544378698224852
quest_kg,cwq,0.678,0.7551622418879056
quest_kg,cwq,0.68,0.7558823529411764
quest_kg,cwq,0.682,0.7565982404692082
quest_kg,cwq,0.684,0.7573099415204678
quest_kg,cwq,0.686,0.7580174927113703
quest_kg,cwq,0.688,0.7587209302325582
quest_kg,cwq,0.69,0.7594202898550725
quest_kg,cwq,0.692,0.7601156069364162
quest_kg,cwq,0.694,0.760806916426513
quest_kg,cwq,0.696,0.7614942528735632
quest_kg,cwq,0.698,0.7621776504297995
quest_kg,cwq,0.7,0.76
quest_kg,cwq,0.702,0.7606837606837606
quest_kg,cwq,0.704,0.7613636363636364
quest_kg,cwq,0.706,0.7592067988668555
quest_kg,cwq,0.708,0.7598870056497176
quest_kg,cwq,0.71,0.7605633802816901
quest_kg,cwq,0.712,0.7612359550561798
quest_kg,cwq,0.714,0.7619047619047619
quest_kg,cwq,0.716,0.7625698324022346
quest_kg,cwq,0.718,0.7632311977715878
quest_kg,cwq,0.72,0.7638888888888888
quest_kg,cwq,0.722,0.7617728531855956
quest_kg,cwq,0.724,0.7624309392265194
quest_kg,cwq,0.726,0.7630853994490359
quest_kg,cwq,0.728,0.7637362637362637
quest_kg,cwq,0.73,0.7643835616438356
quest_kg,cwq,0.732,0.7650273224043715
quest_kg,cwq,0.734,0.7656675749318801
quest_kg,cwq,0.736,0.7635869565217391
quest_kg,cwq,0.738,0.7642276422764227
quest_kg,cwq,0.74,0.7621621621621621
quest_kg,cwq,0.742,0.7628032345013477
quest_kg,cwq,0.744,0.7634408602150538
quest_kg,cwq,0.746,0.7613941018766757
quest_kg,cwq,0.748,0.7593582887700535
quest_kg,cwq,0.75,0.76
quest_kg,cwq,0.752,0.7606382978723404
quest_kg,cwq,0.754,0.7612732095490716
quest_kg,cwq,0.756,0.7619047619047619
quest_kg,cwq,0.758,0.762532981530343
quest_kg,cwq,0.76,0.7631578947368421
quest_kg,cwq,0.762,0.7637795275590551
quest_kg,cwq,0.764,0.7643979057591623
quest_kg,cwq,0.766,0.7650130548302871
quest_kg,cwq,0.768,0.7630208333333334
quest_kg,cwq,0.77,0.7636363636363637
quest_kg,cwq,0.772,0.7642487046632125
quest_kg,cwq,0.774,0.7648578811369509
quest_kg,cwq,0.776,0.7654639175257731
quest_kg,cwq,0.778,0.7634961439588689
quest_kg,cwq,0.78,0.764102564102564
quest_kg,cwq,0.782,0.7647058823529411
quest_kg,cwq,0.784,0.7627551020408163
quest_kg,cwq,0.786,0.7633587786259541
quest_kg,cwq,0.788,0.7614213197969544
quest_kg,cwq,0.79,0.7620253164556963
quest_kg,cwq,0.792,0.7626262626262627
quest_kg,cwq,0.794,0.7632241813602015
quest_kg,cwq,0.796,0.7638190954773869
quest_kg,cwq,0.798,0.7644110275689223
quest_kg,cwq,0.8,0.765
quest_kg,cwq,0.802,0.7655860349127181
quest_kg,cwq,0.804,0.7661691542288558
quest_kg,cwq,0.806,0.7667493796526055
quest_kg,cwq,0.808,0.7673267326732673
quest_kg,cwq,0.81,0.7679012345679013
quest_kg,cwq,0.812,0.7684729064039408
quest_kg,cwq,0.814,0.7665847665847666
quest_kg,cwq,0.816,0.767156862745098
quest_kg,cwq,0.818,0.7677261613691931
quest_kg,cwq,0.82,0.7682926829268293
quest_kg,cwq,0.822,0.7688564476885644
quest_kg,cwq,0.824,0.7694174757281553
quest_kg,cwq,0.826,0.7699757869249395
quest_kg,cwq,0.828,0.7705314009661836
quest_kg,cwq,0.83,0.7710843373493976
quest_kg,cwq,0.832,0.7716346153846154
quest_kg,cwq,0.834,0.7721822541966427
quest_kg,cwq,0.836,0.7727272727272727
quest_kg,cwq,0.838,0.7732696897374702
quest_kg,cwq,0.84,0.7738095238095238
quest_kg,cwq,0.842,0.7719714964370546
quest_kg,cwq,0.844,0.7725118483412322
quest_kg,cwq,0.846,0.7730496453900709
quest_kg,cwq,0.848,0.7735849056603774
quest_kg,cwq,0.85,0.7741176470588236
quest_kg,cwq,0.852,0.7746478873239436
quest_kg,cwq,0.854,0.775175644028103
quest_kg,cwq,0.856,0.7757009345794392
quest_kg,cwq,0.858,0.7738927738927739
quest_kg,cwq,0.86,0.7744186046511627
quest_kg,cwq,0.862,0.7749419953596288
quest_kg,cwq,0.864,0.775462962962963
quest_kg,cwq,0.866,0.7759815242494226
quest_kg,cwq,0.868,0.7764976958525346
quest_kg,cwq,0.87,0.7770114942528735
quest_kg,cwq,0.872,0.7752293577981652
quest_kg,cwq,0.874,0.7757437070938216
quest_kg,cwq,0.876,0.7762557077625571
quest_kg,cwq,0.878,0.7767653758542141
quest_kg,cwq,0.88,0.7772727272727273
quest_kg,cwq,0.882,0.7777777777777778
quest_kg,cwq,0.884,0.7782805429864253
quest_kg,cwq,0.886,0.7787810383747178
quest_kg,cwq,0.888,0.777027027027027
quest_kg,cwq,0.89,0.7775280898876404
quest_kg,cwq,0.892,0.7780269058295964
quest_kg,cwq,0.894,0.7785234899328859
quest_kg,cwq,0.896,0.7790178571428572
quest_kg,cwq,0.898,0.77728285077951
quest_kg,cwq,0.9,0.7777777777777778
quest_kg,cwq,0.902,0.7782705099778271
quest_kg,cwq,0.904,0.7787610619469026
quest_kg,cwq,0.906,0.7792494481236203
quest_kg,cwq,0.908,0.7797356828193833
quest_kg,cwq,0.91,0.7802197802197802
quest_kg,cwq,0.912,0.7807017543859649
quest_kg,cwq,0.914,0.7811816192560175
quest_kg,cwq,0.916,0.7816593886462881
quest_kg,cwq,0.918,0.7821350762527233
quest_kg,cwq,0.92,0.782608695652174
quest_kg,cwq,0.922,0.7809110629067245
quest_kg,cwq,0.924,0.7813852813852814
quest_kg,cwq,0.926,0.7818574514038876
quest_kg,cwq,0.928,0.7823275862068966
quest_kg,cwq,0.93,0.7827956989247312
quest_kg,cwq,0.932,0.7832618025751072
quest_kg,cwq,0.934,0.7837259100642399
quest_kg,cwq,0.936,0.7841880341880342
quest_kg,cwq,0.938,0.7846481876332623
quest_kg,cwq,0.94,0.7851063829787234
quest_kg,cwq,0.942,0.7855626326963907
quest_kg,cwq,0.944,0.7860169491525424
quest_kg,cwq,0.946,0.7864693446088795
quest_kg,cwq,0.948,0.7869198312236287
quest_kg,cwq,0.95,0.7873684210526316
quest_kg,cwq,0.952,0.7878151260504201
quest_kg,cwq,0.954,0.7882599580712788
quest_kg,cwq,0.956,0.7887029288702929
quest_kg,cwq,0.958,0.7891440501043842
quest_kg,cwq,0.96,0.7895833333333333
quest_kg,cwq,0.962,0.7900207900207901
quest_kg,cwq,0.964,0.7904564315352697
quest_kg,cwq,0.966,0.7908902691511387
quest_kg,cwq,0.968,0.7913223140495868
quest_kg,cwq,0.97,0.7917525773195876
quest_kg,cwq,0.972,0.7921810699588477
quest_kg,cwq,0.974,0.7926078028747433
quest_kg,cwq,0.976,0.7930327868852459
quest_kg,cwq,0.978,0.7934560327198363
quest_kg,cwq,0.98,0.7938775510204081
quest_kg,cwq,0.982,0.7942973523421588
quest_kg,cwq,0.984,0.7947154471544715
quest_kg,cwq,0.986,0.795131845841785
quest_kg,cwq,0.988,0.7955465587044535
quest_kg,cwq,0.99,0.795959595959596
quest_kg,cwq,0.992,0.7963709677419355
quest_kg,cwq,0.994,0.7947686116700201
quest_kg,cwq,0.996,0.7951807228915663
quest_kg,cwq,0.998,0.7955911823647295
quest_kg,cwq,1.0,0.796
quest_kg,icews18,0.006666666666666667,1.0
quest_kg,icews18,0.013333333333333334,1.0
quest_kg,icews18,0.02,1.0
quest_kg,icews18,0.02666666666666667,1.0
quest_kg,icews18,0.03333333333333333,1.0
quest_kg,icews18,0.04,1.0
quest_kg,icews18,0.04666666666666667,1.0
quest_kg,icews18,0.05333333333333334,1.0
quest_kg,icews18,0.06,1.0
quest_kg,icews18,0.06666666666666667,1.0
quest_kg,icews18,0.07333333333333333,1.0
quest_kg,icews18,0.08,1.0
quest_kg,icews18,0.08666666666666667,1.0
quest_kg,icews18,0.09333333333333334,1.0
quest_kg,icews18,0.1,1.0
quest_kg,icews18,0.10666666666666667,1.0
quest_kg,icews18,0.11333333333333333,1.0
quest_kg,icews18,0.12,1.0
quest_kg,icews18,0.12666666666666668,1.0
quest_kg,icews18,0.13333333333333333,1.0
quest_kg,icews18,0.14,1.0
quest_kg,icews18,0.14666666666666667,1.0
quest_kg,icews18,0.15333333333333332,1.0
quest_kg,icews18,0.16,1.0
quest_kg,icews18,0.16666666666666666,1.0
quest_kg,icews18,0.17333333333333334,1.0
quest_kg,icews18,0.18,1.0
quest_kg,icews18,0.18666666666666668,1.0
quest_kg,icews18,0.19333333333333333,1.0
quest_kg,icews18,0.2,1.0
quest_kg,icews18,0.20666666666666667,1.0
quest_kg,icews18,0.21333333333333335,1.0
quest_kg,icews18,0.22,1.0
quest_kg,icews18,0.22666666666666666,1.0
quest_kg,icews18,0.23333333333333334,1.0
quest_kg,icews18,0.24,0.9722222222222222
quest_kg,icews18,0.24666666666666667,0.972972972972973
quest_kg,icews18,0.25333333333333335,0.9736842105263158
quest_kg,icews18,0.26,0.9743589743589743
quest_kg,icews18,0.26666666666666666,0.975
quest_kg,icews18,0.2733333333333333,0.975609756097561
quest_kg,icews18,0.28,0.9761904761904762
quest_kg,icews18,0.2866666666666667,0.9767441860465116
quest_kg,icews18,0.29333333333333333,0.9772727272727273
quest_kg,icews18,0.3,0.9777777777777777
quest_kg,icews18,0.30666666666666664,0.9782608695652174
quest_kg,icews18,0.31333333333333335,0.9787234042553191
quest_kg,icews18,0.32,0.9791666666666666
quest_kg,icews18,0.32666666666666666,0.9795918367346939
quest_kg,icews18,0.3333333333333333,0.98
quest_kg,icews18,0.34,0.9803921568627451
quest_kg,icews18,0.3466666666666667,0.9807692307692307
quest_kg,icews18,0.35333333333333333,0.9811320754716981
quest_kg,icews18,0.36,0.9814814814814815
quest_kg,icews18,0.36666666666666664,0.9818181818181818
quest_kg,icews18,0.37333333333333335,0.9821428571428571
quest_kg,icews18,0.38,0.9824561403508771
quest_kg,icews18,0.38666666666666666,0.9827586206896551
quest_kg,icews18,0.3933333333333333,0.9830508474576272
quest_kg,icews18,0.4,0.9833333333333333
quest_kg,icews18,0.4066666666666667,0.9836065573770492
quest_kg,icews18,0.41333333333333333,0.9838709677419355
quest_kg,icews18,0.42,0.9841269841269842
quest_kg,icews18,0.4266666666666667,0.984375
quest_kg,icews18,0.43333333333333335,0.9846153846153847
quest_kg,icews18,0.44,0.9848484848484849
quest_kg,icews18,0.44666666666666666,0.9850746268656716
quest_kg,icews18,0.4533333333333333,0.9852941176470589
quest_kg,icews18,0.46,0.9855072463768116
quest_kg,icews18,0.4666666666666667,0.9857142857142858
quest_kg,icews18,0.47333333333333333,0.9859154929577465
quest_kg,icews18,0.48,0.9861111111111112
quest_kg,icews18,0.4866666666666667,0.9863013698630136
quest_kg,icews18,0.49333333333333335,0.9864864864864865
quest_kg,icews18,0.5,0.9866666666666667
quest_kg,icews18,0.5066666666666667,0.9868421052631579
quest_kg,icews18,0.5133333333333333,0.987012987012987
quest_kg,icews18,0.52,0.9871794871794872
quest_kg,icews18,0.5266666666666666,0.9873417721518988
quest_kg,icews18,0.5333333333333333,0.9875
quest_kg,icews18,0.54,0.9876543209876543
quest_kg,icews18,0.5466666666666666,0.9878048780487805
quest_kg,icews18,0.5533333333333333,0.9879518072289156
quest_kg,icews18,0.56,0.9880952380952381
quest_kg,icews18,0.5666666666666667,0.9882352941176471
quest_kg,icews18,0.5733333333333334,0.9883720930232558
quest_kg,icews18,0.58,0.9885057471264368
quest_kg,icews18,0.5866666666666667,0.9886363636363636
