bin_lo,bin_hi,n,mean_conf,mean_acc,method,dataset
0.9333333333333333,1.0,500,1.0,0.14,quest_kg,cwq
0.9333333333333333,1.0,500,1.0,0.114,quest_kg,cwq
0.9333333333333333,1.0,500,1.0,0.1,quest_kg,cwq
0.06666666666666667,0.13333333333333333,58,0.12176922195649263,0.06896551724137931,quest_kg,cwq
0.13333333333333333,0.2,45,0.1639348863895758,0.08888888888888889,quest_kg,cwq
0.2,0.26666666666666666,122,0.24336375144405312,0.22131147540983606,quest_kg,cwq
0.26666666666666666,0.3333333333333333,119,0.295439683579599,0.19327731092436976,quest_kg,cwq
0.3333333333333333,0.4,62,0.36219045737711064,0.3064516129032258,quest_kg,cwq
0.4,0.4666666666666667,42,0.4292780103536898,0.14285714285714285,quest_kg,cwq
0.4666666666666667,0.5333333333333333,23,0.49846695717455985,0.391304347826087,quest_kg,cwq
0.5333333333333333,0.6,22,0.5595760438573842,0.36363636363636365,quest_kg,cwq
0.6,0.6666666666666666,6,0.6402619829984256,0.16666666666666666,quest_kg,cwq
0.6666666666666666,0.7333333333333333,1,0.6917116370906948,1.0,quest_kg,cwq
0.9333333333333333,1.0,147,1.0,0.006802721088435374,quest_kg,icews18
0.9333333333333333,1.0,750,0.9999370969836032,0.9333333333333333,quest_kg,orgaccess
0.9333333333333333,1.0,500,1.0,0.272,quest_kg,webqsp
0.9333333333333333,1.0,500,1.0,0.236,quest_kg,webqsp
0.9333333333333333,1.0,500,1.0,0.358,quest_kg,webqsp
0.9333333333333333,1.0,500,1.0,0.326,quest_kg,webqsp
0.2,0.26666666666666666,221,0.25,0.27149321266968324,quest_kg,webqsp
0.26666666666666666,0.3333333333333333,27,0.312352944741497,0.5555555555555556,quest_kg,webqsp
0.3333333333333333,0.4,5,0.33410014145881384,0.4,quest_kg,webqsp
0.4,0.4666666666666667,31,0.42279651581436456,0.4838709677419355,quest_kg,webqsp
0.4666666666666667,0.5333333333333333,101,0.5,0.40594059405940597,quest_kg,webqsp
0.5333333333333333,0.6,8,0.5642541054728683,0.125,quest_kg,webqsp
0.6,0.6666666666666666,50,0.6232149916912215,0.34,quest_kg,webqsp
0.6666666666666666,0.7333333333333333,5,0.7014029154491183,0.8,quest_kg,webqsp
0.7333333333333333,0.8,3,0.753921138207872,0.3333333333333333,quest_kg,webqsp
0.8,0.8666666666666667,41,0.8290160477133452,0.4878048780487805,quest_kg,webqsp
0.8666666666666667,0.9333333333333333,1,0.879433871996893,1.0,quest_kg,webqsp
0.9333333333333333,1.0,7,0.9451910822455252,0.8571428571428571,quest_kg,webqsp
